ClientID,Nom,Prénom,Email,Téléphone,Adresse,Ville,CodePostal,Pays,DateNaissance,Âge,Sexe,NuméroCarteCrédit,TypeCarteCrédit,DateExpirationCarte,SoldeCompte,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,StatutCompte
d34f9cab-5d14-469f-aa80-c0146f3b93c7,Walters,Christopher,vickie68@hotmail.com,818-767-2351x61325,"Unit 4018 Box 5177, DPO AA 69318",Lauratown,45532,Antigua and Barbuda,1996-09-15,29,M,4097053653757288182,Diners Club / Carte Blanche,10/33,375.72,Entreprise,7,1157.99,2024-03-19,network,Sport,6,165.43,85,1,11.68,Neutre,True,Paypal,Inactif
d9b374f9-8cec-4ae7-9137-c1d930d0aae0,Weaver,Linda,mackrenee@rodriguez.com,892-112-2129x2425,"19114 Ryan Grove, East Miranda, MO 40887",Herreraview,06486,Belize,2000-01-11,25,F,3524679197750799,JCB 16 digit,04/28,342.52,Entreprise,3,213.04,2024-05-28,clear,Électronique,6,71.01,15,2,152.13,Satisfait,False,Carte bancaire,Actif
72855e63-d98e-42e9-a10f-d9e4fac6e82f,Odonnell,Julie,alexis55@gmail.com,001-505-122-4709x1134,"610 Donna Neck, Lake Paulmouth, MA 32585",Lake Erictown,85092,Andorra,1961-06-07,64,F,341190748598098,VISA 19 digit,05/26,744.08,Entreprise,13,1357.54,2023-07-12,officer,Alimentation,9,104.43,10,5,342.6,Satisfait,False,Cryptomonnaie,Suspendu
3fcb2796-9692-4fcf-affb-0100d9a74ae1,Clark,Charles,jenniferschmidt@yahoo.com,(101)867-7119,"177 Anne Bridge, Perezberg, MA 91533",New Andrewton,87164,Samoa,1970-11-19,55,F,30107545449479,JCB 15 digit,06/27,2398.64,Particulier,5,806.13,2023-09-28,more,Alimentation,5,161.23,4,0,0.0,Mécontent,False,Virement,Actif
50b21cc8-6f68-45c5-9b75-335ef55b41b2,Martinez,David,hmiddleton@mendoza.com,(820)441-6404x9218,"59971 Haynes Glens Apt. 520, Meganhaven, MN 92380",Rodriguezport,53640,Burkina Faso,1946-02-26,79,M,2715109270149637,JCB 16 digit,08/34,160.82,Particulier,9,785.47,2023-10-02,nor,Mode,1,87.27,6,0,0.0,Mécontent,True,Cryptomonnaie,Inactif
1149c70b-e75d-4398-a784-ff40152810db,Black,Stephen,greenemakayla@yahoo.com,001-241-995-6354x33199,"70389 Richard Glen Apt. 625, Port Justinshire, MT 86994",Tarafurt,16900,San Marino,1941-04-11,84,M,30216072857762,VISA 19 digit,11/25,2512.82,Entreprise,10,3798.2,2024-06-06,it,Électronique,0,379.82,74,2,127.06,Mécontent,False,Virement,Suspendu
20dea61b-c087-482c-9a71-2def299ed020,Spencer,Alexis,robertsimon@gmail.com,001-213-157-9454x1584,"29242 Humphrey Squares, West Ericamouth, ID 30989",Smithhaven,50362,Angola,1984-11-22,41,F,30086395836896,Mastercard,09/33,4347.1,Particulier,7,128.7,2024-03-23,class,Alimentation,2,18.39,40,1,129.76,Très mécontent,True,Carte bancaire,Inactif
3faa9f83-0a50-4657-96cc-401944b5708c,Baker,Stephen,sjames@gmail.com,2057671275,"Unit 3338 Box 9454, DPO AE 48742",West Michael,02732,Norway,1977-04-26,48,F,4149680134143380,JCB 16 digit,03/29,2376.39,Entreprise,18,625.4,2025-01-22,minute,Alimentation,0,34.74,37,2,50.33,Mécontent,True,Virement,Inactif
cd0594c6-c289-4fd6-92ad-495772743f5a,Williams,Timothy,simonjonathan@gmail.com,(046)512-6303x860,"1762 Wilcox Burg, Kennedystad, MI 28020",Bondborough,63792,Hong Kong,1949-01-23,76,F,346257586556242,American Express,09/28,3866.9,Entreprise,2,793.93,2024-04-26,total,Maison,5,396.96,20,3,485.85,Neutre,True,Paypal,Actif
6bed1a9f-2ee0-402e-8907-9fad020e36f7,Macdonald,Kevin,paulpowell@smith.com,008-549-9685x489,"553 Steven Avenue, New Gabrielberg, SC 41397",Carpentertown,73481,Mali,1940-09-20,85,F,30041890266180,VISA 13 digit,09/33,1497.79,Entreprise,14,962.35,2023-04-01,agent,Mode,2,68.74,15,2,305.03,Satisfait,True,Paypal,Inactif
0c2cab59-6989-4832-aa97-84c398e67a5d,Haas,Rhonda,shellywu@hotmail.com,901-546-7054x875,"5226 Timothy Cove Suite 532, Danielburgh, DC 44365",North Randyhaven,77860,Heard Island and McDonald Islands,1972-04-13,53,M,30218058462039,Diners Club / Carte Blanche,09/32,4967.86,Entreprise,2,667.91,2023-06-04,activity,Mode,1,333.95,47,1,85.98,Neutre,True,Carte bancaire,Actif
79eb32ae-12ca-4009-b8ec-b558d039caf8,Gould,Jennifer,williamburgess@yahoo.com,(605)397-7437,"724 Daniel Brooks, North Jason, MO 64838",Pughville,25709,Guatemala,2001-02-22,24,F,345649919423036,JCB 15 digit,12/25,3022.53,Entreprise,11,5489.59,2023-06-02,suddenly,Sport,2,499.05,55,4,262.75,Très mécontent,True,Virement,Actif
073fdfca-a8df-4e28-ae42-460761586770,Martin,Tiffany,tammy92@hotmail.com,123-725-6964x336,"269 Meyer Square Apt. 570, Martinburgh, LA 13683",West Craig,11743,Syrian Arab Republic,1934-12-28,91,M,3552494496446460,Maestro,06/28,691.03,Particulier,9,1570.28,2024-11-02,simply,Maison,0,174.48,27,4,152.13,Très satisfait,True,Paypal,Inactif
ae2fe7cd-0387-4e2b-abb6-9e6bce679b74,Webb,Frank,toddcrawford@gmail.com,001-094-151-6161x1656,"1523 Wood Drive, Port Johnburgh, GA 71291",Suzannechester,06798,Saudi Arabia,1942-11-09,83,F,4236725896963012852,VISA 13 digit,05/29,1737.97,Entreprise,1,385.85,2024-11-24,rule,Mode,3,385.85,4,3,426.82,Très mécontent,True,Paypal,Actif
88dcb53d-58ba-4746-b942-91d07190a03c,Fernandez,Calvin,scotttom@white.com,(410)400-3404,"921 Deborah Falls, Stevenfort, MT 76185",Rodneyshire,10897,India,1992-09-26,33,M,579747583600,Mastercard,06/33,1332.51,Particulier,6,1137.0,2023-05-17,morning,Alimentation,8,189.5,23,3,61.77,Très satisfait,False,Cryptomonnaie,Actif
ad388d2e-a57a-4a60-b1d1-4fd15d27b74c,Cooke,Caitlin,riddlelindsay@hotmail.com,3379093229,"279 Montgomery Causeway Suite 115, Ramirezfort, MO 82231",Whiteton,30256,Philippines,1971-02-02,54,F,379059537246174,VISA 16 digit,06/27,2281.71,Entreprise,17,688.51,2023-02-18,future,Maison,10,40.5,59,1,70.21,Très mécontent,True,Cryptomonnaie,Inactif
1eedf4f2-9789-46f7-84ea-4329dc9ea314,Kelly,Robin,brenda37@long.com,872.173.4183x7125,"9701 Gutierrez Route Apt. 518, New Lance, OK 95862",Nicoleburgh,16583,Tanzania,1958-07-03,67,M,379017599154256,VISA 19 digit,04/25,2611.85,Particulier,0,0.0,2024-12-11,particularly,Électronique,0,0.0,10,1,92.94,Neutre,False,Virement,Actif
ef5c5f75-5404-4191-800f-a2bc3dac7412,Marshall,Jeffrey,wwright@gmail.com,4698822678,"2469 Thomas Junctions Suite 075, Port Margaretshire, WI 72585",Lake Courtneyville,52789,Saint Barthelemy,1943-05-12,82,M,36867577045669,VISA 16 digit,02/30,3900.78,Entreprise,4,1361.55,2024-03-06,tell,Sport,8,340.39,93,4,557.23,Satisfait,False,Virement,Suspendu
