ClientID,Email,Téléphone,Pays,Âge,NuméroCarteCrédit,TypeClient,NombreAchats,MontantTotalAchats,DernierAchat,ProduitPréféré,CatégorieProduitPréféré,FréquenceAchatMensuel,PanierMoyen,ScoreFidélité,NombreRemboursements,MontantTotalRemboursé,AvisClient,AbonnementNewsletter,TypePaiementFavori,Bénéfice,Fidélité
d34f9cab-5d14-469f-aa80-c0146f3b93c7,johnathan39@example.net,***-***-****x*****,Antigua and Barbuda,"(17.999, 30.0]",*******************,Entreprise,7,1157.99,2024-03-19,network,Sport,6,165.43,85,1,11.68,Neutre,True,Paypal,1146.31,Très fort
d9b374f9-8cec-4ae7-9137-c1d930d0aae0,deanpatricia@example.net,***-***-****x****,Belize,"(17.999, 30.0]",****************,Entreprise,3,213.04,2024-05-28,clear,Électronique,6,71.01,15,2,152.13,Satisfait,False,Carte bancaire,60.91,Très faible
72855e63-d98e-42e9-a10f-d9e4fac6e82f,joshuaparks@example.com,***-***-***-****x****,Andorra,"(50.0, 70.0]",***************,Entreprise,13,1357.54,2023-07-12,officer,Alimentation,9,104.43,10,5,342.6,Satisfait,False,Cryptomonnaie,1014.9399999999999,Très faible
3fcb2796-9692-4fcf-affb-0100d9a74ae1,joellee@example.net,(***)***-****,Samoa,"(50.0, 70.0]",**************,Particulier,5,806.13,2023-09-28,more,Alimentation,5,161.23,4,0,0.0,Mécontent,False,Virement,806.13,Très faible
50b21cc8-6f68-45c5-9b75-335ef55b41b2,harperjennifer@example.net,(***)***-****x****,Burkina Faso,"(70.0, 99.0]",****************,Particulier,9,785.47,2023-10-02,nor,Mode,1,87.27,6,0,0.0,Mécontent,True,Cryptomonnaie,785.47,Très faible
1149c70b-e75d-4398-a784-ff40152810db,carolynedwards@example.org,***-***-***-****x*****,San Marino,"(70.0, 99.0]",**************,Entreprise,10,3798.2,2024-06-06,it,Électronique,0,379.82,74,2,127.06,Mécontent,False,Virement,3671.14,Fort
3faa9f83-0a50-4657-96cc-401944b5708c,khopkins@example.net,**********,Norway,"(30.0, 50.0]",****************,Entreprise,18,625.4,2025-01-22,minute,Alimentation,0,34.74,37,2,50.33,Mécontent,True,Virement,575.0699999999999,Faible
cd0594c6-c289-4fd6-92ad-495772743f5a,btran@example.org,(***)***-****x***,Hong Kong,"(70.0, 99.0]",***************,Entreprise,2,793.93,2024-04-26,total,Maison,5,396.96,20,3,485.85,Neutre,True,Paypal,308.0799999999999,Très faible
6bed1a9f-2ee0-402e-8907-9fad020e36f7,wheelerbrandon@example.org,***-***-****x***,Mali,"(70.0, 99.0]",**************,Entreprise,14,962.35,2023-04-01,agent,Mode,2,68.74,15,2,305.03,Satisfait,True,Paypal,657.32,Très faible
0c2cab59-6989-4832-aa97-84c398e67a5d,maxwellsara@example.com,***-***-****x***,Heard Island and McDonald Islands,"(50.0, 70.0]",**************,Entreprise,2,667.91,2023-06-04,activity,Mode,1,333.95,47,1,85.98,Neutre,True,Carte bancaire,581.93,Moyen
79eb32ae-12ca-4009-b8ec-b558d039caf8,cstevens@example.net,(***)***-****,Guatemala,"(17.999, 30.0]",***************,Entreprise,11,5489.59,2023-06-02,suddenly,Sport,2,499.05,55,4,262.75,Très mécontent,True,Virement,5226.84,Moyen
